Post Text,Eating Behavior
Had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious.,normal
"Not gonna lie, i can't walk up a flight of stairs without getting winded. Something has to change. Just needed to share this.",obesity
Update: the breakup hit different at 2am when I found myself stress-eating leftover cake. Not okay.,emotional
Story time: joined an online support group for people dealing with obesity. First step is admitting I need help. Not okay.,obesity
I track every calorie I eat and still feel like I'm doing something wrong. The math never adds up.,anxiety
Day 3 of trying to eat better and my relationship with food has been toxic for decades. Therapy has helped me start to unpack it. It is what it is.,obesity
Every time I feel lonely I just go to the fridge. It's become automatic at this point. Anyone else?,emotional
"Not gonna lie, someone at work said something hurtful and I went home and demolished a bag of cookies. No shame.",emotional
Just venting but snacked on an apple and some almonds between meetings. Felt great. Not okay.,normal
Just venting but my relationship with food has been toxic for decades. Therapy has helped me start to unpack it.,obesity
Confession: i feel sick before social events that involve food. What if I make wrong choices? 💪,anxiety
PSA: listening to my hunger cues more lately. Only eating when I'm actually hungry. Therapy is helping.,normal
Real talk: tried to tie my shoes and realized how difficult it had become. That was my wake-up call. It is what it is.,obesity
Feeling really vulnerable sharing this but i inhale my food when stressed. Don't even taste it. Just fuel to keep going. 🤦,stress
Can't believe I'm posting this but i spend hours planning meals because the idea of eating something unplanned sends me into a spiral. lol.,anxiety
Feeling really vulnerable sharing this but joined an online support group for people dealing with obesity. First step is admitting I need help. Send help.,obesity
throwback to last week when can't eat before a presentation. Anxiety just kills my appetite completely.,anxiety
Anyone else relate? listening to my hunger cues more lately. Only eating when I'm actually hungry. Trying to do better.,normal
Just venting but work stress has me ordering takeout every night because I don't have the energy to cook. 🤦,stress
Feeling really vulnerable sharing this but the uncertainty of eating out makes me want to just never go to restaurants again.,anxiety
"Not gonna lie, i reward myself with food when things go well and comfort myself with food when they don't.",emotional
"Made smoothies with spinach, banana and almond milk all week. Feeling energetic. Send help.",normal
PSA: tried intermittent fasting for a week but realized three regular meals work better for me. One day at a time.,normal
PSA: been skipping lunch at work because eating in front of people makes me extremely anxious. Just needed to share this.,anxiety
Real talk: i inhale my food when stressed. Don't even taste it. Just fuel to keep going. Just needed to share this.,stress
Update: i spend hours planning meals because the idea of eating something unplanned sends me into a spiral.,anxiety
Update: too stressed to cook so I've been living on vending machine snacks all week. 😅,stress
I spend hours planning meals because the idea of eating something unplanned sends me into a spiral.,anxiety
The breakup hit different at 2am when I found myself stress-eating leftover cake. One day at a time.,emotional
Just venting but had a small piece of cake at my friend's birthday. Enjoyed it and moved on.,normal
Confession: binge ate last night after a really rough week. Feeling ashamed but also kind of numb. One day at a time.,emotional
Feeling really vulnerable sharing this but high stress = high sugar cravings. I've eaten more candy this week than I have in a year. 💪,stress
"So I've been thinking... i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't. lol.",anxiety
Confession: been stress eating cereal straight from the box at midnight. Not my finest hour.,stress
Anyone else relate? my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this.,anxiety
Day 3 of trying to eat better and my knees hurt every morning when I wake up. The doctor says my weight is a major factor. One day at a time.,obesity
My relationship with food has been toxic for decades. Therapy has helped me start to unpack it. No shame.,obesity
Confession: been skipping lunch at work because eating in front of people makes me extremely anxious. lol.,anxiety
"Not gonna lie, eating in front of people is one of my biggest triggers. I always feel judged. Open to advice.",anxiety
Too stressed to cook so I've been living on vending machine snacks all week. 💪,stress
PSA: the breakup hit different at 2am when I found myself stress-eating leftover cake. Not okay.,emotional
Cried all evening and somehow ended up in the kitchen eating everything in sight.,emotional
Tried a new Mediterranean recipe tonight and the whole family loved it. Just needed to share this.,normal
Story time: binge ate last night after a really rough week. Feeling ashamed but also kind of numb. lol.,emotional
I don't eat when I'm hungry. I eat when I feel things. That's not the same. Just needed to share this.,emotional
Every new food feels like a threat. I know it's irrational but I can't shake it.,anxiety
Update: i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me. Not okay.,obesity
Feeling really vulnerable sharing this but feeling really in tune with my body's hunger signals lately. Eating feels natural. One day at a time.,normal
Day 3 of trying to eat better and high stress = high sugar cravings. I've eaten more candy this week than I have in a year.,stress
Feeling really vulnerable sharing this but i've turned down social events because of the food aspect. Easier to avoid than to cope. Therapy is helping.,anxiety
Hot take: my doctor told me I need to lose 80 pounds. I've heard it before but this time it feels different. Just needed to share this.,obesity
"throwback to last week when cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself! Just needed to share this.",normal
Cried all evening and somehow ended up in the kitchen eating everything in sight.,emotional
Story time: my fear of food contamination makes me wash everything multiple times before I cook. 😅,anxiety
So I've been thinking... eating three meals a day has been helping my energy levels so much lately. Working on it.,normal
Can't believe I'm posting this but the breakup hit different at 2am when I found myself stress-eating leftover cake. Send help.,emotional
Can't eat before a presentation. Anxiety just kills my appetite completely. Just needed to share this.,anxiety
Feeling really vulnerable sharing this but listening to my hunger cues more lately. Only eating when I'm actually hungry. 💪,normal
Started tracking my food this week. The calorie count was eye-opening and not in a good way. 🤦,obesity
"Not gonna lie, ate slowly today and really savored my food. Didn't need a second helping. Therapy is helping.",normal
So I've been thinking... food is the only thing that doesn't let me down. I know that's unhealthy to say. 😅,emotional
Confession: my colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking.,stress
Can't believe I'm posting this but i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me.,obesity
Real talk: cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! It is what it is.,normal
So I've been thinking... i spend hours planning meals because the idea of eating something unplanned sends me into a spiral. 💪,anxiety
Real talk: i rehearse what I'll order at restaurants in advance to avoid the anxiety in the moment. lol.,anxiety
throwback to last week when emotional eating is real y'all. Ate half a cheesecake after the breakup news.,emotional
"Not gonna lie, grilled some salmon with roasted sweet potato for dinner. So good and filling. 😅",normal
Just venting but work stress has me ordering takeout every night because I don't have the energy to cook. Working on it.,stress
"Anyone else relate? the project launch has me eating at my desk, working 12 hour days, and surviving on coffee. 🤦",stress
Too stressed to cook so I've been living on vending machine snacks all week. Open to advice.,stress
"Can't believe I'm posting this but i've tried every diet imaginable. The problem isn't willpower, it's a deep-rooted behavioral pattern. Just needed to share this.",obesity
Anyone else relate? i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me. Anyone else?,obesity
Snacked on an apple and some almonds between meetings. Felt great. Just needed to share this.,normal
Just venting but i feel panicked anytime my meal schedule gets disrupted. It completely ruins my day. lol.,anxiety
So I've been thinking... i don't eat when I'm hungry. I eat when I feel things. That's not the same. Anyone else?,emotional
So I've been thinking... went to the amusement park and had to leave a ride because the safety bar wouldn't close. I cried in the parking lot. Working on it.,obesity
Just got dumped and I've already eaten an entire tub of ice cream. Don't judge me.,emotional
PSA: i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me. Anyone else?,obesity
"When things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know.",emotional
High stress = high sugar cravings. I've eaten more candy this week than I have in a year. lol.,stress
Feeling really vulnerable sharing this but listening to my hunger cues more lately. Only eating when I'm actually hungry. Anyone else?,normal
Eating three meals a day has been helping my energy levels so much lately. Trying to do better.,normal
Nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. No shame.,emotional
"Not gonna lie, the project launch has me eating at my desk, working 12 hour days, and surviving on coffee.",stress
"When things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know.",emotional
Tried intermittent fasting for a week but realized three regular meals work better for me. Open to advice.,normal
Too stressed to cook so I've been living on vending machine snacks all week. Not okay.,stress
"Not gonna lie, work stress has me ordering takeout every night because I don't have the energy to cook.",stress
Rant incoming: listening to my hunger cues more lately. Only eating when I'm actually hungry. Not okay.,normal
So I've been thinking... i photograph every meal before eating it so I can review and reassure myself it was the right choice. 🤦,anxiety
Tried intermittent fasting for a week but realized three regular meals work better for me. No shame.,normal
Confession: cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! Working on it.,normal
Cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! Just needed to share this.,normal
PSA: ate three bowls of pasta after getting some bad news. Just needed to feel something warm. Send help.,emotional
Confession: tried a new Mediterranean recipe tonight and the whole family loved it. Anyone else?,normal
Update: finally admitted to myself that I use food to cope with everything. Looking into therapy now. 🤦,obesity
Can't believe I'm posting this but feeling empty inside so I just… kept eating. Still felt empty after. No shame.,emotional
Real talk: listening to my hunger cues more lately. Only eating when I'm actually hungry.,normal
Feeling really vulnerable sharing this but ate a whole pizza by myself after getting rejected from that job. Needed it. Send help.,emotional
Day 3 of trying to eat better and grilled some salmon with roasted sweet potato for dinner. So good and filling. 😅,normal
So I've been thinking... cried all evening and somehow ended up in the kitchen eating everything in sight. lol.,emotional
"Not gonna lie, my relationship with food has been toxic for decades. Therapy has helped me start to unpack it. lol.",obesity
"Not gonna lie, between the deadline and the meetings I forgot to eat until 7pm. Again. It is what it is.",stress
"Honestly, the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. Anyone else?",obesity
Confession: been skipping lunch at work because eating in front of people makes me extremely anxious.,anxiety
My fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. Just needed to share this.,anxiety
"Honestly, the project launch has me eating at my desk, working 12 hour days, and surviving on coffee. 🤦",stress
Just venting but tried to tie my shoes and realized how difficult it had become. That was my wake-up call.,obesity
"Not gonna lie, i feel sick before social events that involve food. What if I make wrong choices?",anxiety
I have a very limited safe foods list and eating anything outside it sends me into panic. Open to advice.,anxiety
I photograph every meal before eating it so I can review and reassure myself it was the right choice. Send help.,anxiety
Update: just got dumped and I've already eaten an entire tub of ice cream. Don't judge me. It is what it is.,emotional
Can't believe I'm posting this but i've turned down social events because of the food aspect. Easier to avoid than to cope. Anyone else?,anxiety
I spend hours planning meals because the idea of eating something unplanned sends me into a spiral. Therapy is helping.,anxiety
Story time: my fear of food contamination makes me wash everything multiple times before I cook. Therapy is helping.,anxiety
Confession: cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! It is what it is.,normal
Hot take: i reward myself with food when things go well and comfort myself with food when they don't. Anyone else?,emotional
Confession: drinking more water and eating more fiber has really helped my digestion. Send help.,normal
PSA: i reward myself with food when things go well and comfort myself with food when they don't. One day at a time.,emotional
"Not gonna lie, my knees hurt every morning when I wake up. The doctor says my weight is a major factor.",obesity
"Update: i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment. It is what it is.",obesity
Real talk: tried to tie my shoes and realized how difficult it had become. That was my wake-up call.,obesity
"So I've been thinking... cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself! No shame.",normal
"Honestly, when things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know.",emotional
Feeling really vulnerable sharing this but feeling empty inside so I just… kept eating. Still felt empty after.,emotional
I track every calorie I eat and still feel like I'm doing something wrong. The math never adds up. No shame.,anxiety
Real talk: i feel sick before social events that involve food. What if I make wrong choices? No shame.,anxiety
Story time: tried a new Mediterranean recipe tonight and the whole family loved it. 💪,normal
Just venting but had a small piece of cake at my friend's birthday. Enjoyed it and moved on. Therapy is helping.,normal
Update: tried to tie my shoes and realized how difficult it had become. That was my wake-up call. Trying to do better.,obesity
Snacked on an apple and some almonds between meetings. Felt great. Send help.,normal
So I've been thinking... tried a new Mediterranean recipe tonight and the whole family loved it. Just needed to share this.,normal
Confession: forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. Working on it.,stress
Confession: my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Trying to do better.,obesity
"Honestly, my portions have been out of control for so long that I don't even know what a normal serving looks like. Working on it.",obesity
Day 3 of trying to eat better and felt really overwhelmed today and didn't even realize I'd eaten an entire pack of biscuits. It is what it is.,emotional
"Not gonna lie, my cortisol must be through the roof. All I want to eat is carbs and sugar.",stress
Update: the breakup hit different at 2am when I found myself stress-eating leftover cake. Open to advice.,emotional
Update: i have a very limited safe foods list and eating anything outside it sends me into panic. One day at a time.,anxiety
Rant incoming: had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. Send help.,emotional
Anyone else relate? my portions have been out of control for so long that I don't even know what a normal serving looks like.,obesity
Day 3 of trying to eat better and high stress = high sugar cravings. I've eaten more candy this week than I have in a year. No shame.,stress
Feeling really vulnerable sharing this but too stressed to meal prep this week. Eating random snacks and calling it a diet. lol.,stress
Can't believe I'm posting this but feeling empty inside so I just… kept eating. Still felt empty after. lol.,emotional
"I skip breakfast when I'm overwhelmed. It's not intentional, my brain just won't let me think about food. Anyone else?",stress
Rant incoming: my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. 💪,anxiety
Rant incoming: stress eating my way through finals week and I have zero regrets. Survival mode. Therapy is helping.,stress
Confession: feeling really in tune with my body's hunger signals lately. Eating feels natural. 🤦,normal
"Honestly, eating in front of people is one of my biggest triggers. I always feel judged. One day at a time.",anxiety
Hot take: i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. Therapy is helping.,anxiety
Anyone else relate? my BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Anyone else?,obesity
"Honestly, i eat when I'm bored, when I'm sad, when I'm happy. Food is literally my emotion regulator. One day at a time.",emotional
Someone at work said something hurtful and I went home and demolished a bag of cookies. No shame.,emotional
Anyone else relate? had a proper sit-down lunch today instead of eating at my desk. So refreshing. 🤦,normal
My relationship with food has been toxic for decades. Therapy has helped me start to unpack it.,obesity
Hot take: made a salad for lunch with chickpeas and avocado. Simple but satisfying. No shame.,normal
Anyone else relate? i can't walk up a flight of stairs without getting winded. Something has to change. No shame.,obesity
Hot take: between the deadline and the meetings I forgot to eat until 7pm. Again. Just needed to share this.,stress
Update: work stress has me ordering takeout every night because I don't have the energy to cook. lol.,stress
PSA: work stress has me ordering takeout every night because I don't have the energy to cook. Send help.,stress
throwback to last week when sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots.,anxiety
I spend hours planning meals because the idea of eating something unplanned sends me into a spiral. No shame.,anxiety
Feeling really vulnerable sharing this but went to the amusement park and had to leave a ride because the safety bar wouldn't close. I cried in the parking lot. Anyone else?,obesity
Finally admitted to myself that I use food to cope with everything. Looking into therapy now. Open to advice.,obesity
"I've tried every diet imaginable. The problem isn't willpower, it's a deep-rooted behavioral pattern. Therapy is helping.",obesity
Hot take: started tracking my food this week. The calorie count was eye-opening and not in a good way. Just needed to share this.,obesity
"PSA: cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself!",normal
"I'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. Working on it.",emotional
Story time: been stress eating cereal straight from the box at midnight. Not my finest hour. Send help.,stress
Update: the breakup hit different at 2am when I found myself stress-eating leftover cake.,emotional
"The project launch has me eating at my desk, working 12 hour days, and surviving on coffee. No shame.",stress
Day 3 of trying to eat better and too stressed to meal prep this week. Eating random snacks and calling it a diet.,stress
Feeling really in tune with my body's hunger signals lately. Eating feels natural. One day at a time.,normal
Rant incoming: work stress has me ordering takeout every night because I don't have the energy to cook.,stress
Hot take: i inhale my food when stressed. Don't even taste it. Just fuel to keep going. Not okay.,stress
"Rant incoming: i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment.",obesity
Can't believe I'm posting this but my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. Anyone else?,anxiety
Rant incoming: just got dumped and I've already eaten an entire tub of ice cream. Don't judge me.,emotional
I've turned down social events because of the food aspect. Easier to avoid than to cope. Trying to do better.,anxiety
Cried all evening and somehow ended up in the kitchen eating everything in sight. Working on it.,emotional
"Not gonna lie, nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. Working on it.",emotional
Can't believe I'm posting this but the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. No shame.,obesity
"I eat when I'm bored, when I'm sad, when I'm happy. Food is literally my emotion regulator. Anyone else?",emotional
Rant incoming: my relationship with food has been toxic for decades. Therapy has helped me start to unpack it. Anyone else?,obesity
PSA: i feel panicked anytime my meal schedule gets disrupted. It completely ruins my day. Not okay.,anxiety
Just venting but my fear of food contamination makes me wash everything multiple times before I cook. 😅,anxiety
"Confession: the project launch has me eating at my desk, working 12 hour days, and surviving on coffee.",stress
"Honestly, i spend hours planning meals because the idea of eating something unplanned sends me into a spiral.",anxiety
"Not gonna lie, my BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. One day at a time.",obesity
Anyone else relate? ate slowly today and really savored my food. Didn't need a second helping.,normal
"Sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. 😅",obesity
Real talk: cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! lol.,normal
I reward myself with food when things go well and comfort myself with food when they don't.,emotional
"Hot take: i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't. lol.",anxiety
Anyone else relate? i feel panicked anytime my meal schedule gets disrupted. It completely ruins my day. 🤦,anxiety
Feeling really vulnerable sharing this but between the deadline and the meetings I forgot to eat until 7pm. Again. Open to advice.,stress
"Day 3 of trying to eat better and sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Send help.",obesity
Can't believe I'm posting this but i eat past fullness every single meal. It's like there's no off switch. Just needed to share this.,obesity
Can't believe I'm posting this but sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots. lol.,anxiety
Feeling really vulnerable sharing this but felt really overwhelmed today and didn't even realize I'd eaten an entire pack of biscuits.,emotional
Real talk: i feel sick before social events that involve food. What if I make wrong choices? 😅,anxiety
I track every calorie I eat and still feel like I'm doing something wrong. The math never adds up.,anxiety
Food is the only thing that doesn't let me down. I know that's unhealthy to say. Trying to do better.,emotional
"Not gonna lie, my relationship with food has been toxic for decades. Therapy has helped me start to unpack it.",obesity
Feeling really vulnerable sharing this but my fear of food contamination makes me wash everything multiple times before I cook. Just needed to share this.,anxiety
Finally admitted to myself that I use food to cope with everything. Looking into therapy now. Anyone else?,obesity
"Rant incoming: can't sleep, can't eat properly. Stress is literally destroying my appetite and my health. Therapy is helping.",stress
Someone at work said something hurtful and I went home and demolished a bag of cookies. Not okay.,emotional
"Ate way too much at dinner – not because I was hungry, just because I was feeling really down. Just needed to share this.",emotional
"Honestly, started tracking my food this week. The calorie count was eye-opening and not in a good way. One day at a time.",obesity
So I've been thinking... my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Anyone else?,obesity
throwback to last week when i eat past fullness every single meal. It's like there's no off switch. 💪,obesity
Day 3 of trying to eat better and i don't eat when I'm hungry. I eat when I feel things. That's not the same. Trying to do better.,emotional
"Hot take: ate way too much at dinner – not because I was hungry, just because I was feeling really down. It is what it is.",emotional
"Not gonna lie, eating in front of people is one of my biggest triggers. I always feel judged. lol.",anxiety
Feeling really vulnerable sharing this but started tracking my food this week. The calorie count was eye-opening and not in a good way. 😅,obesity
"Not gonna lie, cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! One day at a time.",normal
Confession: between the deadline and the meetings I forgot to eat until 7pm. Again.,stress
Just venting but grilled some salmon with roasted sweet potato for dinner. So good and filling.,normal
Just venting but had whole grain toast with avocado and eggs for breakfast. Classic and satisfying. Send help.,normal
Feeling really vulnerable sharing this but deadlines have me skipping lunch every single day this week. Not sustainable. 😅,stress
"So I've been thinking... i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't. Not okay.",anxiety
Rant incoming: the breakup hit different at 2am when I found myself stress-eating leftover cake. Just needed to share this.,emotional
Feeling really vulnerable sharing this but cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing!,normal
So I've been thinking... i feel sick before social events that involve food. What if I make wrong choices? No shame.,anxiety
"Confession: had a balanced breakfast with oats, fruits and some nuts. Feeling good!",normal
Real talk: i spend hours planning meals because the idea of eating something unplanned sends me into a spiral. 💪,anxiety
"Story time: i'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. lol.",emotional
Hot take: i eat past fullness every single meal. It's like there's no off switch.,obesity
Day 3 of trying to eat better and started tracking my food this week. The calorie count was eye-opening and not in a good way.,obesity
"Can't sleep, can't eat properly. Stress is literally destroying my appetite and my health. It is what it is.",stress
Rant incoming: had a proper sit-down lunch today instead of eating at my desk. So refreshing.,normal
"Honestly, had a small piece of cake at my friend's birthday. Enjoyed it and moved on. 🤦",normal
"So I've been thinking... ate way too much at dinner – not because I was hungry, just because I was feeling really down. One day at a time.",emotional
Day 3 of trying to eat better and my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this.,anxiety
Hot take: the breakup hit different at 2am when I found myself stress-eating leftover cake. Just needed to share this.,emotional
Update: work stress has me ordering takeout every night because I don't have the energy to cook. 😅,stress
PSA: i track every calorie I eat and still feel like I'm doing something wrong. The math never adds up.,anxiety
"Not gonna lie, had a small piece of cake at my friend's birthday. Enjoyed it and moved on. No shame.",normal
"Not gonna lie, feeling really in tune with my body's hunger signals lately. Eating feels natural.",normal
My fear of choking makes every meal a stressful experience. Eating shouldn't feel like this.,anxiety
So I've been thinking... had a proper sit-down lunch today instead of eating at my desk. So refreshing. 💪,normal
"Not gonna lie, had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. 😅",emotional
Anyone else relate? bought a scale for the first time in years. The number shocked me. Time to take this seriously. Send help.,obesity
Confession: forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. Trying to do better.,stress
Story time: tried to tie my shoes and realized how difficult it had become. That was my wake-up call.,obesity
Rant incoming: had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. 🤦,emotional
Didn't finish my whole plate today. Just stopped when I was full. Progress! lol.,normal
Just venting but i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. Trying to do better.,anxiety
"Real talk: i'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. Send help.",emotional
Real talk: i inhale my food when stressed. Don't even taste it. Just fuel to keep going. 🤦,stress
Just venting but my portions have been out of control for so long that I don't even know what a normal serving looks like. Not okay.,obesity
Every time I feel lonely I just go to the fridge. It's become automatic at this point. Not okay.,emotional
Hot take: under deadline stress I either don't eat at all or eat everything. Zero regulation. Just needed to share this.,stress
Anyone else relate? nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. One day at a time.,emotional
PSA: had a proper sit-down lunch today instead of eating at my desk. So refreshing.,normal
"Day 3 of trying to eat better and when things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know.",emotional
Can't believe I'm posting this but my therapist says my relationship with food is driven by fear. She's not wrong. Anyone else?,anxiety
Story time: the breakup hit different at 2am when I found myself stress-eating leftover cake. 💪,emotional
Been stress eating cereal straight from the box at midnight. Not my finest hour. Trying to do better.,stress
Had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty.,emotional
"When things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know. Working on it.",emotional
Confession: between the deadline and the meetings I forgot to eat until 7pm. Again.,stress
"throwback to last week when been stress eating at my desk all day. Chips, chocolate, whatever's close. Anyone else?",stress
"Not gonna lie, i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me. Send help.",obesity
"Honestly, my therapist says my relationship with food is driven by fear. She's not wrong. lol.",anxiety
Rant incoming: i'm 42 and I can't play with my kids without needing to sit down and catch my breath. That kills me. Just needed to share this.,obesity
Anyone else relate? been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. Therapy is helping.,obesity
Rant incoming: sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots. Just needed to share this.,anxiety
"Anyone else relate? i skip breakfast when I'm overwhelmed. It's not intentional, my brain just won't let me think about food. 💪",stress
I spend hours planning meals because the idea of eating something unplanned sends me into a spiral. One day at a time.,anxiety
"Confession: when things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know. Just needed to share this.",emotional
Had a small piece of cake at my friend's birthday. Enjoyed it and moved on. Anyone else?,normal
throwback to last week when every new food feels like a threat. I know it's irrational but I can't shake it. Open to advice.,anxiety
Anyone else relate? i eat past fullness every single meal. It's like there's no off switch. No shame.,obesity
Hot take: i've turned down social events because of the food aspect. Easier to avoid than to cope.,anxiety
Confession: didn't finish my whole plate today. Just stopped when I was full. Progress!,normal
PSA: tried meal prepping for the first time this week. Dinner every night was so easy. lol.,normal
Tried a new Mediterranean recipe tonight and the whole family loved it. Send help.,normal
Can't believe I'm posting this but didn't finish my whole plate today. Just stopped when I was full. Progress! 🤦,normal
Anyone else relate? between the deadline and the meetings I forgot to eat until 7pm. Again.,stress
Anyone else relate? had a proper sit-down lunch today instead of eating at my desk. So refreshing. Open to advice.,normal
Anyone else relate? my cortisol must be through the roof. All I want to eat is carbs and sugar. 😅,stress
Day 3 of trying to eat better and finally admitted to myself that I use food to cope with everything. Looking into therapy now.,obesity
PSA: went to the amusement park and had to leave a ride because the safety bar wouldn't close. I cried in the parking lot. One day at a time.,obesity
Made a salad for lunch with chickpeas and avocado. Simple but satisfying. Anyone else?,normal
"Made smoothies with spinach, banana and almond milk all week. Feeling energetic. lol.",normal
Day 3 of trying to eat better and ate a whole pizza by myself after getting rejected from that job. Needed it. One day at a time.,emotional
Story time: deadlines have me skipping lunch every single day this week. Not sustainable. Send help.,stress
Been stress eating cereal straight from the box at midnight. Not my finest hour. 😅,stress
Anyone else relate? i feel sick before social events that involve food. What if I make wrong choices? Not okay.,anxiety
Ate three bowls of pasta after getting some bad news. Just needed to feel something warm. Not okay.,emotional
Binge ate last night after a really rough week. Feeling ashamed but also kind of numb. 🤦,emotional
Update: i spend hours planning meals because the idea of eating something unplanned sends me into a spiral. Just needed to share this.,anxiety
Feeling really vulnerable sharing this but my fear of food contamination makes me wash everything multiple times before I cook. 😅,anxiety
Someone at work said something hurtful and I went home and demolished a bag of cookies. 💪,emotional
Rant incoming: my fear of food contamination makes me wash everything multiple times before I cook. Open to advice.,anxiety
Rant incoming: terrified to eat at restaurants because I don't know exactly what's in the food. Just needed to share this.,anxiety
Work stress has me ordering takeout every night because I don't have the energy to cook. 😅,stress
So I've been thinking... i photograph every meal before eating it so I can review and reassure myself it was the right choice.,anxiety
Feeling really vulnerable sharing this but made a salad for lunch with chickpeas and avocado. Simple but satisfying. It is what it is.,normal
Hot take: sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots. No shame.,anxiety
Confession: i rehearse what I'll order at restaurants in advance to avoid the anxiety in the moment. Just needed to share this.,anxiety
Just venting but i have a very limited safe foods list and eating anything outside it sends me into panic. Trying to do better.,anxiety
"When things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know.",emotional
High stress = high sugar cravings. I've eaten more candy this week than I have in a year. Not okay.,stress
Just venting but i've been dealing with binge eating disorder for years and my weight has climbed with it. Not okay.,obesity
"Not gonna lie, ate way too much at dinner – not because I was hungry, just because I was feeling really down. 😅",emotional
Just venting but too stressed to meal prep this week. Eating random snacks and calling it a diet. Anyone else?,stress
Hot take: went to the amusement park and had to leave a ride because the safety bar wouldn't close. I cried in the parking lot.,obesity
"Day 3 of trying to eat better and sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related.",obesity
throwback to last week when eating in front of people is one of my biggest triggers. I always feel judged. One day at a time.,anxiety
My relationship with food has been toxic for decades. Therapy has helped me start to unpack it.,obesity
"PSA: the project launch has me eating at my desk, working 12 hour days, and surviving on coffee. 🤦",stress
Story time: the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. lol.,obesity
Can't believe I'm posting this but my colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking. Therapy is helping.,stress
Had a proper sit-down lunch today instead of eating at my desk. So refreshing. 🤦,normal
Feeling really vulnerable sharing this but had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious. Therapy is helping.,normal
Nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. Anyone else?,emotional
Eating three meals a day has been helping my energy levels so much lately. Send help.,normal
Update: i feel sick before social events that involve food. What if I make wrong choices?,anxiety
